date,alimentación saludable,productos orgánicos,veganismo,sin TACC,café de especialidad
2025-02-23,2,0,0,69,0
2025-03-02,3,0,0,78,0
2025-03-09,2,0,0,72,2
2025-03-16,3,0,0,72,0
2025-03-23,4,0,1,74,0
2025-03-30,4,0,0,74,2
2025-04-06,5,0,0,75,0
2025-04-13,3,0,0,97,0
2025-04-20,4,0,0,76,0
2025-04-27,3,0,0,81,0
2025-05-04,5,0,0,74,2
2025-05-11,3,0,0,71,2
2025-05-18,5,0,0,80,1
2025-05-25,5,0,0,78,1
2025-06-01,6,0,0,85,2
2025-06-08,5,0,0,77,2
2025-06-15,4,0,0,82,2
2025-06-22,3,0,0,73,2
2025-06-29,4,0,0,81,2
2025-07-06,2,0,0,83,2
2025-07-13,2,0,0,88,2
2025-07-20,2,0,0,92,3
2025-07-27,2,0,0,88,3
2025-08-03,3,0,0,83,0
2025-08-10,4,0,0,90,2
2025-08-17,4,0,0,76,2
2025-08-24,4,0,0,86,2
2025-08-31,4,1,0,83,3
2025-09-07,3,0,0,81,3
2025-09-14,3,0,0,80,2
2025-09-21,4,0,0,80,2
2025-09-28,4,0,2,80,0
2025-10-05,3,0,0,82,2
2025-10-12,5,0,0,86,2
2025-10-19,5,0,0,76,3
2025-10-26,6,0,3,74,2
2025-11-02,4,0,0,70,2
2025-11-09,6,0,0,74,3
2025-11-16,5,0,0,82,1
2025-11-23,4,0,0,75,2
2025-11-30,3,0,0,69,2
2025-12-07,0,0,0,67,2
2025-12-14,1,0,0,77,3
2025-12-21,0,0,0,92,0
2025-12-28,0,0,0,81,2
2026-01-04,0,0,0,76,2
2026-01-11,0,0,0,76,2
2026-01-18,2,0,0,79,3
2026-01-25,0,0,0,78,2
2026-02-01,0,0,0,76,2
2026-02-08,0,0,0,74,2
2026-02-15,2,0,0,70,2
2026-02-22,2,0,0,69,2
2026-03-01,3,0,0,61,3
2026-03-08,2,0,0,73,3
2026-03-15,3,0,0,70,2
2026-03-22,2,0,0,82,3
2026-03-29,2,0,0,87,2
2026-04-05,3,0,0,68,3
2026-04-12,3,0,1,72,3
2026-04-19,3,0,0,69,3
2026-04-26,3,1,0,76,2
2026-05-03,3,0,0,66,2
2026-05-10,3,0,0,71,2
2026-05-17,3,0,0,75,2
2026-05-24,5,0,0,77,3
2026-05-31,5,0,0,72,2
2026-06-07,4,0,0,66,3
2026-06-14,2,0,0,66,2
2026-06-21,3,0,0,65,2
2026-06-28,4,0,0,64,2
2026-07-05,0,0,0,76,2
2026-07-12,2,0,0,66,2
2026-07-19,1,0,0,73,3
2026-07-26,2,0,0,68,3
2026-08-02,2,0,0,62,2
